Data Jumlah Penduduk Menurut Kelompok Umur dan Jenis Kelamin di Provinsi Jawa Tengah Tahun 2025,,,,
,,,,
,Kelompok Umur,Jumlah Penduduk,,Jumlah Penduduk (Laki-Laki + Perempuan) (Ribu)
,,Laki-Laki (Ribu),Perempuan (Ribu),
,0-4,"1,453,486","1,395,492","2,848,978"
,5-9,"1,378,005","1,314,670","2,692,675"
,10-14,"1,388,617","1,324,616","2,713,233"
,15-19,"1,434,037","1,349,663","2,783,700"
,20-24,"1,453,872","1,371,580","2,825,452"
,25-29,"1,488,450","1,405,197","2,893,647"
,30-34,"1,478,667","1,407,466","2,886,133"
,35-39,"1,457,127","1,406,076","2,863,203"
,40-44,"1,404,285","1,376,799","2,781,084"
,45-49,"1,344,073","1,352,647","2,696,720"
,50-54,"1,229,032","1,260,829","2,489,861"
,55-59,"1,100,859","1,156,162","2,257,021"
,60-64,"920,100","984,473","1,904,573"
,65-69,"721,747","779,311","1,501,058"
,70-74,"500,418","558,377","1,058,795"
,75+,"450,659","587,141","1,037,800"
,TOTAL,"19,203,434","19,030,499","38,233,933"
,,,,
,Sumber Data: https://jateng.bps.go.id/id/statistics-table/3/WVc0MGEyMXBkVFUxY25KeE9HdDZkbTQzWkVkb1p6MDkjMw==/jumlah-penduduk-menurut-kelompok-umur-dan-jenis-kelamin--ribu-jiwa--di-provinsi-jawa-tengah--2020.html?year=2025,,,